username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Alain41	15	41538	964	1313	52	1	1	71462	0
🇨🇦Heather🇨🇦	15	2239	113	363	1	1	1	1232	1
Will Cyber 🐝🎶	20	206531	246	195	20	1	1	23595	0
The World Reacts	12	1	7	11	0	2	0	22	0
Dynamik Crypto	21	350	78	151	2	1	1	770	0
Nothing But	17	14576	67803	14494	408	4	2	187641	1
Mary Lou	23	26727	153	200	0	1	1	3299	1
Mr. Pistov	19	1101	538	627	10	1	0	3556	0
🇷‌🇪‌🇵‌🇴‌🇱‌🇪‌🇹‌🇪‌ ©️	5	31005	669	500	13	1	1	45503	0
Margot Wasilewski	17	0	2	0	0	1	1	25	1
abcdef1803	20	180	6	63	0	1	1	725	0
#TeamTall	21	6446	3141	2590	91	1	1	3939	0
Eric Christian Smalls	19	10166	1280	5001	59	1	1	20073	0
Ofhani	8	645	470	448	2	1	1	1857	0
crbaker	24	45545	4457	4994	6	1	1	20858	0
orakonlineshop	19	22	2	5	0	1	0	24	0
Usdaw A Division	22	865	157	241	2	1	1	1032	0
justateacher	20	1168	6	213	0	1	1	752	0
الحق	17	0	1	0	0	1	1	85	1
Sports Roadhouse®	21	4	1359	69	187	1	0	864292	0
Phase Electrical	21	273	1192	287	17	1	0	973	1
Gale Laure, Author	18	510	3203	2625	586	2	0	81556	0
DM Magnus	23	5752	255	572	1	1	1	598	1
loveolli	28	104	25	55	0	1	1	61	1
Corii Siren (Customs Open)	24	70406	13165	2444	141	1	1	44901	0
Lana Rodriguez	17	0	0	0	0	1	1	11	1
Angelika💎	9	18392	4822	87	3	1	1	5051	0
Siddharth	20	11628	61	214	0	1	1	3243	0
ARTIST TAXI DRIVER	22	16690	106695	6973	1123	1	1	281833	1
Golden Lion	21	67	1068	1162	21	1	0	1164	0
F0sching	23	483	53	55	0	1	1	242	1
North American Herb&Spice	8	269	167	278	1	1	0	1289	1
Tabiso bhut'mfene Kwatshana	14	149	1554	4946	1	1	1	2305	0
TrendWiki Canada	14	0	28	8	0	1	0	24972	0
Tweets will continue until morale improves	19	172075	1043	1853	77	1	1	64287	0
The Tronix Bazaar	15	94	224	321	2	2	2	1513	1
Shalene	20	5367	171	1672	1	2	2	6446	0
Stop Ironing Shirts	9	5872	1851	3989	19	1	1	4014	0
{KLIF-TUN}{KOR-TEZ}	19	1521	724	2085	17	1	1	3130	0
Jimboy Cruz (Ananda)	12	53558	1787	4952	6	1	1	19289	0
EdaDick	3	3417	391	259	0	1	0	12819	0
Gucci mane 🇰🇪	18	20401	7711	6680	57	1	1	89935	0
Grimno	15	708	92	30	1	2	0	3153	1
Rosella Joseph	15	1456	190	764	0	3	0	349	0
WhitestoneDome Deutschland	19	1412	69	455	3	1	0	22996	1
Fat is our Friend	1	8365	9941	1605	228	1	0	18289	0
ExpectIts Safe| Fair	24	313	176	142	0	2	0	999	0
Sara Loya	23	59135	318	442	0	2	2	13302	0
Mark Wiggs	9	877	30	151	1	1	1	754	0
Fopianni	4	486	777	465	26	1	0	3640	0
Blunder (Luto)	17	2843	124	268	0	1	1	568	1
Mrunstoppableceo	15	548	71	772	0	1	0	499	0
OSC	12	23368	1270	965	86	1	0	5095	1
Akita4two	19	17222	215	835	2	1	1	151870	0
VéroFourniotakis	20	721	37	191	1	1	1	237	0
Judging EBTs:guilty	15	14078	1673	1141	28	1	1	54158	1
Safari Centre CPT	21	0	50	31	2	11	0	461	1
Reed-Direct	21	17	7	5	0	1	0	12	1
Meagan	12	2570	1222	2044	78	1	0	5381	0
Taylor Marsh	13	28662	5064	2898	274	1	0	58649	0
Martha cox	24	201	3	58	0	1	1	22	0
G.A.M.Morris, author	17	8543	55411	56480	197	4	4	16054	0
Little Fairy	23	8697	1382	3537	9	1	1	37564	0
Paul K🤓	19	28138	2018	4963	21	1	1	31643	0
Nokukhanya	8	1205	132	218	1	1	1	175	0
Ffion's Gift	22	170	170	393	1	1	1	249	0
Nova Dispensary	18	6	285	18	2	3	0	407	1
Golf Town	23	1429	14697	895	186	1	1	6946	1
Personal Care Truth	13	1	3727	2146	112	1	0	4366	0
Christopher Tansil	25	6787	328	297	0	1	1	2093	0
Bill Hart 	21	14055	1560	1392	109	1	0	143790	1
Dale Jacobs	21	3288	781	904	39	1	1	12054	0
Marilyn Robertson	20	10529	166	180	0	3	3	8071	0
kcwineguy	20	14961	6689	7331	290	1	1	30161	0
Paper_Poi 📑	19	450	1604	1006	12	1	1	26651	0
Helen_BCU_SLT2B	20	1270	70	135	0	1	1	385	0
beautiful sinner✨	13	125553	1241	417	18	1	1	88757	0
cryptobywak	18	106	108	222	0	1	1	191	0
:-)	21	4670	107	259	0	1	1	1383	0
AnnMarie	15	18760	351	452	4	1	1	20762	0
MaryNation	21	30853	872	566	21	1	1	51841	0
MrShadowEnd	13	323	35	134	0	1	1	379	0
susannah sharrock	12	0	2	4	0	1	0	9	0
Okan Okutkan	23	1148	217	366	77	1	1	7388	1
Indiemajorplaylist	13	1501	395	633	1	13	13	1225	0
Sandy 🌎✈️🚢🚞🌈	21	705	138	126	1	1	1	12682	0
Weiler🥁	16	11081	4479	2512	36	1	1	87386	0
Big Time Rush Voters	14	8694	9341	2713	18	1	0	44104	0
EMC Forces Cars	21	189	171	329	5	1	0	1503	1
VaultBoyFoxx	5	28948	2250	544	56	1	0	6958	0
EMJ Reviews	24	3768	12188	3928	434	1	1	25901	1
Swansea Libraries	17	149	3612	283	117	1	1	32329	0
b0bic ⭐️⭐️	5	5434	503	4998	39	1	0	60609	0
Stewart Muir	24	1040	377	1390	16	1	1	1013	0
ColorMeRed  🇺🇸	10	55184	23282	25581	688	3	0	352322	0
London Virgin Hair ®	15	3659	1818	334	18	1	0	13671	0
Thic-cydides	6	1289	25	154	0	1	1	986	0
Mirror Travel	15	62	2986	140	50	2	0	8083	1
Alex Klaushofer	21	4874	6808	6760	161	1	0	24502	0
Salina	27	1189	43	248	1	1	1	1782	1
Nadia Oktafiani	7	1114	673	358	1	1	0	16565	0
Diana Dakka 🇱🇧	25	4	446	95	0	1	0	896	0
Amukelani Clayton	12	1053	574	1846	1	1	1	2786	0
true crime threads 🔎	19	56	733	10	1	1	1	268	0
david Zoe leon	6	3049	1105	667	43	1	0	9127	0
MrBrawl96 (Jeff Miz)	23	1127	143	329	6	1	1	4701	1
Jacky Taylor-Bramall	18	9436	101	157	26	4	4	10456	1
Global Beauty 🌏	18	14921	443	312	5	2	2	21423	1
Deplorable Mike	6	110290	18448	20274	81	2	1	124590	0
Paul Ivanovich🌹🦊🦡	22	16987	3326	4700	34	1	1	32344	1
Missoula Current	14	40	2651	2888	61	1	0	5785	0
Nath/clem	23	5617	181	383	4	1	1	4434	1
Cleanzing	25	42	27	53	0	2	1	39	0
Chrystal🍰EunB Angel Day	9	1460	34	75	1	1	0	579	0
GhostintheClass	23	1793	207	2909	41	1	1	19680	1
Marla Zegart	15	258	174	282	27	1	0	848	0
David Bellman	16	1122	520	793	30	2	1	1172	1
Cultor Deorum	19	773	42	78	0	1	0	851	0
allan evans	22	32628	429	5001	0	6	6	42786	0
CU1	17	3	362	244	10	1	0	4949	0
Sara Bennett ♀🎈🌹🇪🇺	11	75842	1408	2015	56	1	1	29498	0
Cameraderie 📷	22	0	9	0	0	1	0	14	1
Go Paolo 🚀	5	2681	1773	1355	104	1	0	6851	0
👊🏼🌪TheSiLOUD Dregs🌪👊🏼	16	43589	23445	23154	14	2	2	39872	0
🔥Big Gucci ALFA💪	21	6349	176	418	9	1	1	27025	0
Fred Anton Corvest	14	795	333	199	9	3	2	676	1
Jocelyn Gould OUSA	19	133064	2198	955	218	1	1	192638	0
Lydia	18	46028	4510	45	0	4	4	41671	1
Patriciah Ashivudhi❤	12	5431	3323	2087	6	1	0	24391	0
Joy Bible Camp	19	28	264	262	5	1	0	382	1
ChrisD.ca	8	17311	23970	3399	546	1	0	103489	0
PopcornandJellybeans	16	49482	2300	4249	56	2	2	38923	0
Ryan Willmer	12	10158	10405	10073	158	1	0	11477	0
Golfgirlde	21	23	2	28	0	1	1	10	0
Marie Proia#Resist	23	450684	3492	1999	4	1	1	376681	0
Larry Blisard	25	104767	939	633	31	1	1	11223	1
Zanzibar Barn	19	47	6	110	0	2	0	17	0
Larry Wolfe	16	26951	3468	4998	3	2	2	54697	0
John Maher	24	15997	812	1107	19	1	1	7456	0
brickfixer	20	71206	272	1096	3	1	1	73429	0
Con's DANGER Ent	17	11250	73	20	2	79	79	11140	1
Sue Rees Farrell	19	3323	76	104	0	1	1	3553	0
‏KW👑	9	15263	1012	766	2	1	1	9033	0
Chantry Chapel	22	248	756	358	20	1	1	504	0
FatherDabney  🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿	14	20490	1952	3870	49	2	2	41503	0
serapoyku	11	614	4357	4002	19	2	2	1144	0
MADAME Kayte	27	6682	717	1831	150	1	1	39238	1
Taylor/Lexi	20	2000	42	98	1	1	1	388	0
SellerBench	8	21	142	104	3	1	0	104	0
Dean Heppenstall	20	889	90	973	1	1	1	2846	0
Pippa Jones	20	2919	3112	4997	234	2	2	156789	1
janusz poltorak	23	6983	9	61	6	1	1	6508	1
Tenol Alpha	23	100	56	267	0	1	0	122	0
Dhinakaran Jebaraj	18	149	23934	25361	10	9	9	202332	1
Editor Choice	9	10	61	371	0	1	0	139	0
Chicago Party Aunt	14	13103	28620	984	126	1	0	5838	0
Leyanis Orellana	19	875	314	116	0	2	0	474	0
Rebecca nisbet	16	1515	663	4876	82	3	1	89044	1
Lori M Olson	19	11974	3280	3477	296	1	1	61438	0
AA Balaskovits	16	1771	656	496	32	1	0	2269	1
Leverage Technology	20	14	307	818	50	1	0	3591	0
mphny	20	247	56	191	7	1	0	720	0
cheese curd	25	17038	274	131	0	1	1	13538	0
aB#11	12	1883	182	656	0	1	0	592	0
ABLE	24	70	65	141	0	1	1	620	0
George Basile	20	25183	951	857	52	1	1	42807	0
J. D. Edwards	17	608	352	216	10	1	0	697	1
Cristex Composite	21	756	429	270	13	1	0	734	0
Caz	14	59128	2374	3020	36	3	3	27837	1
Robert Šakić Trogrlić	23	912	513	1424	9	1	1	411	0
The Tylt	8	23254	210965	4680	492	1	0	47941	0
Kathie Jarzombek	20	126	274	433	5	1	0	4434	0
Stephanie Cooper 🏹🎣🍕🎃	21	121141	425	3515	7	1	1	33131	0
Black Film MN	22	1	86	381	1	1	1	308	0
thorn	14	996	1093	2594	6	2	1	20144	0
Richard Lancashire	22	4240	28	56	0	1	1	2287	1
David Ryding	10	2776	161	367	2	1	1	3476	0
Greeley Robinson	17	0	0	0	0	1	1	13	1
Tammy Versa	13	7358	463	300	2	3	1	23329	0
Dominika Falkner	10	0	2	7	0	1	0	2	0
Cindy Bachynski	21	41930	650	1497	8	1	1	11373	0
Kirsty Van Jensen	20	1290	422	167	40	1	0	8814	0
BlockchainGamer.biz	17	371	833	80	17	1	0	1144	1
Shawna little knock	15	32857	366	596	1	1	1	19207	1
KineticsLive	12	2278	5656	3552	70	5	3	12862	0
LifeMinute.TV	6	396	619	217	24	1	0	3712	0
Holden D. Reed	20	1333	904	1362	0	1	1	5052	0
Realz	16	575	23	133	0	5	5	416	1
Miami Gives	14	19685	3190	729	751	4	0	273683	0
⚔️ME Amanda🐲	22	82556	756	1298	2	2	2	6762	1
SOLLA	53	1657	582	460	5	1	1	725	1
luismike	13	0	2	0	0	1	0	402	1
Kevin McDermott	30	0	70	124	3	1	1	4552	0
Pierre Beltran	6	21	27	46	1	1	0	1113	0
Cristina Martínez	12	2793	255	310	6	1	1	23950	0
Henriklubo	19	71296	4642	840	102	1	1	206766	0
Clare Harvey	17	5515	937	496	46	1	0	3815	1
Anthony Golden	16	2697	34	199	0	1	0	638	1
Lycis	21	170	340	422	36	1	1	109050	1
Victoria Ulery	20	1019	91	398	0	1	1	985	0
KutchenhausTW	19	70	265	926	0	1	1	766	1
WinStVIncent	19	2693	18	21	4	1	1	859	0
Neha Wanikar	22	1653	35	305	1	1	0	1216	0
Justin Caple	18	66	174	346	4	1	0	2372	0
Vivek K. Singh	16	1119	3828	2316	101	3	3	15289	1
Tim Hulse	20	1627	52	100	1	1	1	2801	0
CathStevenson	6	403735	872	1256	7	1	1	20301	0
Omera🇿🇲🇿🇲	21	3326	838	1200	0	1	1	652	0
2UNDR Europe	13	3023	1495	1048	12	1	0	4554	1
Белка	24	16931	33	71	0	1	1	4867	0
Jen unrepentantly	23	343530	4892	5388	76	1	1	72640	0
Kristan Hawke	18	0	0	117	0	2	2	15	1
Erin Jelley	14	6319	460	435	7	1	0	1632	0
DPS Estates	19	54	126	148	2	1	0	190	0
Bill La Vigne	23	965	548	725	29	1	1	3771	0
François C. Trottier	15	41	14	151	0	1	1	11	1
🇺🇸RAB ♥️ MAGA🇺🇸	21	48862	1271	1755	0	1	1	15422	0
Thandoe Lerato #Shortbasee	15	97833	19482	18398	22	7	7	64838	0
Keiron	17	4913	365	365	74	2	2	44858	0
GoldenGirl	23	319618	3426	2174	346	1	1	213007	0
illi Jewelry	21	43	54	55	0	2	2	21	0
Ciceley Commercials	20	46	744	377	7	1	0	348	0
Warchild (Inferium)	20	18	28	223	0	1	1	30	1
Printerinks.com	21	28	4963	1845	31	1	0	2185	0
Caveman 2018	19	33101	1827	675	126	1	1	60481	0
Omar Ouahmane	20	6976	17771	1308	468	1	1	7736	0
April	22	17101	1191	156	0	4	4	8451	1
Jeffrey Liberty	13	4929	1537	1214	29	1	0	12125	1
immortalpanda	15	2340	76	35	2	1	1	2150	1
David Berry	3	142	65	187	0	1	0	79	0
Berrybabe	19	205	447	549	23	2	2	26200	0
Mamii😻✨	19	5802	8459	1740	5	2	2	23222	1
Scarcity GH	18	5276	1387	787	1	1	1	3341	0
Major Tom 🇺🇸	23	29888	1963	2329	1	1	1	19950	0
Keiros	21	33656	189	285	1	1	1	38982	1
TimeWatch	21	27141	2331	4198	131	2	2	109012	0
COOLSTUB	22	15187	2210	444	5	6	5	643	0
di9 #NFB	11	78076	2139	2337	13	1	0	37452	0
Ritchardie	9	2511	580	83	2	1	0	212	1
Alba	22	5265	282	56	2	1	1	4031	0
Lefteris D. Marga	14	3398	128	285	1	1	1	1581	0
Saud alanazi	21	12	19	540	0	1	1	744	1
Gillz_Apparel	18	82	191	150	6	1	0	1331	1
CamdenMarketPlace 14	13	7	72	176	15	4	0	367	0
Yasin Bilen	24	1576	177	145	0	1	1	739	1
Tyler🍂🍁	11	6507	87	341	2	1	0	4035	0
"Mad Cat" Cattis	22	152496	9876	8003	82	1	0	23283	0
HerCampus GCU	9	1061	577	1038	3	1	0	708	0
KINGKEAA👽🤞	14	20	4	12	0	2	1	42	1
Red Sox Recap	13	231	8	35	0	1	0	189	1
AFAZARI Parfait	13	2156	170	269	0	1	0	823	0
Mik J.	23	15948	269	1324	31	1	1	5033	0
PKY	7	49889	2079	2589	4	1	1	77598	0
Max Bolondi	13	66	135	1077	22	1	0	3361	0
ayup	6	1	9	0	0	1	0	4	0
Jason Paul	22	2312	212	786	2	1	1	1810	1
Cheeto_breath	8	10409	423	1017	1	1	1	3200	0
Kathy Dutton	22	66507	4179	4981	5	1	1	91190	0
Alexis Carrillo	21	2714	413	1738	41	1	1	9867	1
Jordan Valdes	21	1483	64	204	0	1	1	1662	0
ASUS Chromebook | Chromebooks & Chargers	9	324	1226	41	51	1	0	20235	0
Tonatiuh Fifí Rendón (Her Beast)	20	6809	189	695	9	1	1	9830	0
Brandon Farley	22	716	4496	450	14	1	0	668	0
Anton Kozikowski	6	315	1306	2924	32	1	0	2145	0
Wai Ling Wong	9	7	87	394	0	1	0	1484	1
Alecia Woodin	24	2329	964	1351	0	1	1	1672	0
Paragon Cause	23	842	296	279	8	2	0	794	1
David 🇺🇸🏳️‍🌈💙🌊	23	289807	11743	12917	147	1	1	308437	0
Gabriel C-137	19	1469	71	577	0	1	1	312	0
Julie d	22	77669	4078	4597	4	4	4	64697	0
Stephanie Zaccagnini	23	6617	327	362	80	1	1	31624	0
Matt Davies	25	1549	191	481	10	1	1	1718	1
Ashley Books	19	1138	868	1331	21	1	0	3304	0
💚LovingLife💜	19	57794	4887	3159	165	1	1	141601	1
AireStreetCollection	25	1258	59	43	1	1	1	1269	0
Laura_TurnerXx	22	97580	2814	3531	45	1	1	146897	1
Pedro Doca Fera	4	0	21355	1505	35	2	0	15863	0
Beezy	12	33766	145	132	9	2	1	3519	0
IDK	21	4268	65	100	0	1	1	2214	0
UCFuckTheCommittee 23-0	15	8231	386	767	3	1	1	16810	0
Rachel Tarlach	20	7049	5798	4437	12	1	1	10086	0
Some guy from MKE	26	83214	1333	4998	136	1	1	72001	1
Obed	27	133	21	303	0	1	1	1143	1
Brainseize	22	0	0	1	0	1	1	1	0
Wade Carter	21	57371	2646	2385	2	2	2	27178	0
Teresa Tat	14	22470	132	349	0	1	1	7954	0
LINTON GARNER	23	550	546	1505	8	1	1	2157	0
Ahmet8080	17	52	17	5	0	1	1	112	0
James McMahon	21	1897	789	3491	18	1	1	3956	0
Kami Haeri	2	7278	8579	1430	140	1	0	18280	0
Jimmie Smith	12	0	4	22	0	1	0	3	0
Pesho David	14	189	49	491	0	1	1	175	0
Edgar Medina	24	9809	281	1360	1	1	1	6487	0
binary_sys_err	15	4731	197	645	6	1	1	10406	0
Clinton Enterprises	18	657	4830	317	18	2	0	3268	1
Dump Trump	23	4989	393	406	0	1	1	124204	1
Gerald Pelletier	19	3189	308	2066	21	1	1	12632	0
Dr. Arturo K.Guiloff	21	12	185	135	16	1	0	397	0
Nova Prospect      #Article13=#StaliNaziEU.#Brexit	15	2	630	634	91	1	1	69649	0
🐰 Siin 🐰	17	1768	62	209	0	1	1	941	1
JenthePensFan #Resist	17	8878	190	126	0	1	1	2591	0
Gala Canzoneri	17	0	3	131	0	1	1	87	1
🌼 DaisyEin 🦆🌼	24	52679	13500	7792	156	3	2	21851	1
Matt Pokrywka	20	599	52	146	3	1	1	67	0
Marc Tierney, Carms W&S Pembs 🏴󠁧󠁢󠁷󠁬󠁳󠁿	4	1165	1133	1457	32	1	0	2531	0
Hausse Original	7	34	11	33	0	1	0	11	0
ssaw(やわらかｵｯﾊﾟｲ天女)	16	1186	338	70	8	1	1	18907	1
Carole29	21	7667	573	281	50	1	0	101556	0
Richard Duncan	13	61	366	493	60	1	0	6173	0
Mike Osorio	16	743	422	1578	6	1	1	5542	0
Catherine💚❤️	21	36818	486	1822	13	2	2	22372	0
Mpho Mokhoane	19	34423	995	757	15	2	1	26390	0
Carol Harris	19	6696	746	1346	56	1	1	24720	0
JamesShirts.com	13	0	2	0	0	1	0	51	0
Arsen Bilgin	22	33829	639	593	1	1	1	1929	0
Clemencia Niculae	17	0	1	182	0	1	1	35	1
CCSTEAD38	16	29727	574	2276	10	1	1	8283	0
🇺🇸 USA Freedom 🇺🇸	19	11106	4334	4857	1	1	1	11176	0
Simplefishing	23	1225	369	311	23	1	0	1001	1
fearless freep🍁	27	87715	1850	893	112	1	1	114599	0
Michelle Ferguson	22	2144	583	4946	128	2	2	64597	0
Anne Rhys	8	1071	58	66	0	1	0	561	0
Alexandria Biker	14	850	532	555	57	1	1	5885	0
Bill Rodgers	15	6186	770	174	2	1	1	2996	0
Lorraine Andrew 😊	21	76151	527	1870	50	3	3	55966	0
Normand G Bourque Jr	19	2119	3377	2942	615	2	0	30531	0
Mariano O'Kon	13	3662	1575	2302	308	1	0	16573	0
🐕She G🐈😺	20	33272	555	1203	4	3	3	24136	0
ATLeagle	20	4656	54	168	1	1	1	5816	0
Jeff Stahfest	19	434	24	157	0	1	1	551	0
VS Lakshmi Choudhary	24	1087	15	16	0	1	1	1070	0
Rodney Page Author	21	3863	10484	8203	610	2	2	64838	0
Ilsanwife	17	16511	413	1674	1	1	1	8810	1
Mnyamandze	27	18444	1526	1993	0	1	1	7417	1
RGB Direct	17	187	670	755	4	11	0	1181	1
Regina M. Sipos	20	843	381	764	26	1	1	569	0
BuRag Lee	11	389	591	1224	1	1	1	11307	0
Jessi Wilgenburg	17	0	0	0	0	1	1	8	1
FemPatriot1776_Agent_355	23	18877	2179	2209	1	1	1	22332	0
Soho Police	21	935	1584	451	14	2	0	777	0
Doppel2ganger	21	8	74	1926	3	1	1	2331	0
#StopGreed	23	332945	8467	9132	508	1	1	430013	0
Claudia Reyes-Hilton	17	138015	2503	1615	15	1	1	60675	0
n	19	1266	23	101	0	1	1	978	0
Jillz	24	7703	627	1775	3	1	1	9756	0
MiLB Umpire Academy	23	650	2670	259	25	1	1	1455	0
Farm . One	22	388	1179	144	25	1	0	527	1
𝒯𝒶𝓃𝓎𝒶	19	26440	966	502	4	1	0	18662	0
Rotary Douglas	11	1473	1045	2499	45	1	0	2779	0
Puspha123	20	24986	564	1507	0	1	1	22226	0
SJG Business Solutions	9	0	6	6	1	1	0	61	0
Ricardo Rivera	23	53	35	126	3	1	1	392	0
Dave Mastiff	19	523	17518	93	73	1	1	48	1
✝️⚔️100%  Texan⚔️🇨🇱✝️	24	357714	15193	16612	333	2	2	338452	0
Greg Sawyer	20	16	1579	1255	21	1	1	2513	0
Anthony O'Connor	24	39436	5522	2306	67	1	1	32856	0
Geoffery Foyle	15	59324	116	351	23	1	1	25637	1
Wristbands Online	12	28	559	809	6	3	0	855	1
Put•The🌐Pads•On (R)	16	42622	2412	4654	98	4	0	41944	0
Hongry Sheep	22	175499	434	1768	4	6	6	71529	1
Michel ⚫💙🏆	11	6780	193	642	2	1	0	4164	0
JenLovesPets	19	1228	510	436	35	1	0	4344	0
FruutluupⓋ🌱	20	4258	159	109	1	1	1	1046	0
♡Black Luna♡	12	5100	1018	1968	0	2	1	826	0
ZD	20	22	5	20	0	1	1	3	1
ZE	21	27825	230	446	4	1	1	48107	0
Rodrigo Saraceno	19	17305	917	126	40	1	1	45436	0
The Strand Magazine	13	2619	8733	8428	262	2	0	6439	0
Anıl Zengin	4	20232	1335	167	3	1	0	790	0
beck	20	61631	919	504	2	1	1	7954	0
halfpint	20	312	511	4466	36	1	1	4387	0
Freddy Fred	18	347	6	116	0	1	1	89	0
Elizabeth Cayson	17	6063	307	986	31	1	0	7854	0
Nova Rodriguez	19	0	1	0	0	2	2	19	1
Larry E Vaughn	8	5	82	189	43	1	0	3735	0
beca	19	17077	2492	1864	6	1	1	10739	1
WhilstRomeBurns	11	32744	966	674	18	1	1	31563	0
CORBYN FOR PM	22	98596	2289	1143	87	1	1	199536	0
Marcus the Angry Cyclops 👁	11	10303	605	737	11	1	1	47392	0
🤣 The Dad Joke Man 😉	39	51463	8612	3660	47	1	0	20426	0
Zi	22	833	25	239	0	1	1	325	0
slay2019	18	468	11	1062	0	1	1	484	0
Shauna’s Rose🥀	23	2428	262	498	2	1	0	7831	0
Christian Brackbill	20	3951	87	255	1	1	1	9614	0
Camille Lebarbenchon	23	258	119	231	1	1	1	328	0
gill kennett	20	8	27	224	0	1	1	273	0
Stephanovich Lawdog	23	405	20	69	0	2	2	580	0
Marguerita Carter	17	0	0	0	0	1	1	22	1
Diana Sonderland	14	0	0	0	0	2	2	74	1
Kelly Griffin	13	33832	276	803	12	1	0	5300	0
MinervaMaat 👮	14	3778	633	674	4	1	0	5283	1
Keep Arizona Red 🇺🇸	21	29591	4800	5143	1	1	1	23796	0
Diatec Ireland	22	103	365	351	15	1	0	903	1
Mrs.  Smith	24	3661	62	138	1	1	1	3085	0
paul klumbach	23	16348	255	953	4	2	2	16181	0
Purple Angry Beaver	8	12173	560	359	10	3	3	7003	0
SEXY stuff	16	50	181	340	3	8	0	1499	0
ScrapeBrokers	26	377	1123	488	23	1	1	2812	1
Webutuck Music Dept	18	26172	525	700	6	1	1	8378	1
William Shoki	3	1444	114	63	0	1	0	138	0
- Roch.elle 👑	21	3156	327	348	4	1	0	9227	1
Lipsky Shandra	14	0	0	9	0	2	2	54	1
Raleigh Police	8	516	7949	62	171	1	0	1408	1
gocoo	23	796	5358	272	1123	3	3	1430250	1
Daniel Sebastian	10	3032	863	720	11	1	1	2243	0
God’s Plan	16	12	32	466	0	2	1	24	1
Alex Bailey, Author 📚	19	20876	7856	7797	160	3	3	27023	0
Craig W.	22	11215	536	1584	0	1	1	8703	0
Melissa Jennings	16	24789	1246	1024	14	2	0	8943	1
Ray Fallan	21	754	209	337	0	1	1	892	0
Make America Safer Today	17	4530	996	3356	54	1	1	30651	0
Eleonor Caplan	18	0	0	21	0	2	2	21	1
maique	22	5529	942	303	47	1	1	28057	1
david cassidy	23	1021	252	3247	4	3	3	11081	0
Carlie's Beauty Supply	7	58	841	63	0	1	0	36	1
Carol Bailey	25	67259	2737	4480	44	1	1	55715	1
Frkn ray of sunshine	16	195	5	5	0	1	0	218	0
David Windt	18	1009	336	315	7	1	1	3644	0
#Foodiechats	10	23153	50780	30198	1159	1	0	96687	0
dayleafia	17	7723	71	368	0	1	1	1828	1
Siphiwe	14	2179	375	1090	0	1	1	9525	0
KidDotCo	11	421	2427	1971	635	8	0	38807	1
#MEAction Network	22	3594	7564	2300	159	1	0	12211	1
Prince_Msikela	11	1239	266	872	0	1	1	934	0
Jason McHuff	9	92	384	56	46	1	0	25515	0
Marta Pallarès 🎗️	14	6402	881	1839	36	1	1	21942	0
Wire One	22	110	23	36	3	1	0	644	0
ThoughtsFromThibault	14	4	8	17	0	1	1	223	0
Aqua 🇳🇱 #SaveYourInternet	19	85	16	71	0	1	1	665	0
Saglio Benjamin	19	0	0	0	0	2	2	6	1
Wizardly Drake	21	58	47	1224	1	2	2	1195	0
Seana Talbot	20	8007	1556	1810	37	1	1	10329	1
Naresh Solanki	21	4919	248	1013	10	1	1	3936	0
Parsley in Time	17	639	3322	793	20	1	0	1729	0
DONNA WARREN🇺🇸🐇	23	130041	102537	9580	346	3	3	144840	0
Matt Cowley Racing	11	17363	2703	1606	19	1	1	6666	0
Christie Goodwin	4	1801	22981	292	75	1	0	8727	0
Andrea Di Mauro	24	23	9	120	0	1	1	10	0
Thomas Ogo-Oluwa	12	26992	1472	1342	6	1	1	40031	0
Isaac Dobles	20	818	383	1743	5	1	1	22391	0
Pie In The Sky	12	970	303	661	14	1	0	1214	0
Not Elvendork.	20	10941	1148	263	163	1	1	99052	0
If Everyone Cares	25	3173	9803	7964	283	1	1	32887	1
Triona Murphy	23	38216	881	294	30	1	1	21667	0
ACrowdAHostofGolden	20	57721	1277	4999	1	1	1	24932	0
Jason Lollar	12	781	164	477	3	7	4	3062	0
Julius Ikpekaogu	13	74	2222	2129	91	1	0	400684	0
Dunning Pasty	17	0	0	142	0	1	1	82	1
Vian Racheal A	7	3135	624	904	3	1	0	11392	0
TrendWiki Nigeria	12	31	678	21	2	1	0	24625	0
Dr Elisabeth Kosters 🇨🇦🇳🇱	23	21274	1813	1903	245	1	1	46818	0
[TPwn] Diablo23	21	45567	1106	2843	4	1	1	16046	1
Matt Friswell	16	6095	328	2290	18	1	1	1648	0
Bonnie_901fnaf	14	0	0	13	0	1	0	1	1
RBJETS69	23	19326	1409	2265	87	1	1	80697	1
Sam Messina	7	1602	26	150	0	2	0	50	0
HuggiW	12	1589	1139	2329	109	2	0	23237	0
Tsholofelo Sibanyoni	9	80	254	619	0	1	1	28	0
Ellie	12	16169	2429	5000	17	1	1	81854	0
Pete Wilcox	16	6858	4323	2486	58	1	0	7625	0
Orion	21	6117	14	76	0	1	1	1294	0
Desired Most	20	462	39	385	0	3	0	44	1
Tiddo	9	4641	490	1076	0	1	0	471	0
Yevette Fahrer	19	0	0	0	0	2	2	16	1
Ashik Mahmud	13	2	70	43	1	5	0	117	0
Cliff Waller	22	44	22	64	0	1	1	102	0
GOD x FAMILY x HU$TLE	20	4223	626	566	8	1	1	15104	0
